Road_Type,Weather,Visibility_km,Road_Surface,Light_Condition,Vehicle_Speed,Traffic_Density,Vehicle_Type,Driver_Age,Driver_Experience,Alcohol_Consumption,Seat_Belt,Time_of_Day,Day_of_Week,Area_Type,Road_Curvature,Junction_Type,Traffic_Signal,Pedestrian_Crossing,Rain,Fog,Temperature_C,Accident_Occurred
Urban Road,Clear,4.3,Dry,Dark - Unlit,75.3,Medium,Truck,22,10,No,Yes,Morning,Tuesday,Rural,Straight,Crossroad,No,No,No,No,38.5,1
Urban Road,Clear,3.2,Muddy,Daylight,34.7,High,Truck,38,26,No,Yes,Morning,Wednesday,Urban,Sharp Curve,T-Junction,Yes,Yes,No,No,12.5,0
Urban Road,Clear,9.3,Dry,Dark - Lit,33.6,High,Motorcycle,37,39,No,No,Evening,Friday,Urban,Straight,Crossroad,Yes,Yes,Yes,No,33.3,0
Urban Road,Clear,3.9,Dry,Dusk/Dawn,131.1,High,Truck,74,35,No,Yes,Evening,Friday,Urban,Straight,Roundabout,Yes,Yes,No,No,-9.1,1
Highway,Rainy,7.6,Dry,Dark - Lit,79.6,Low,Bus,61,19,No,Yes,Morning,Monday,Urban,Straight,T-Junction,No,No,No,No,28.5,1
Residential,Clear,5.4,Wet,Dark - Unlit,132.2,Low,Bus,33,7,Yes,No,Afternoon,Thursday,Urban,Straight,No Junction,Yes,No,No,No,17.6,1
Highway,Clear,7.1,Muddy,Daylight,58.2,Medium,Bus,37,35,No,No,Morning,Thursday,Urban,Straight,No Junction,Yes,Yes,No,No,4.3,0
Rural Road,Clear,2.7,Dry,Dusk/Dawn,55.9,Medium,Motorcycle,68,25,No,No,Afternoon,Tuesday,Urban,Straight,Crossroad,Yes,No,No,No,29.4,0
Highway,Windy,9.4,Dry,Dusk/Dawn,55.2,Medium,Car,42,34,No,Yes,Evening,Tuesday,Urban,Sharp Curve,Crossroad,Yes,Yes,No,No,17.0,0
Highway,Clear,5.4,Muddy,Daylight,106.3,High,Truck,24,2,No,Yes,Morning,Wednesday,Rural,Straight,T-Junction,Yes,No,No,No,23.1,0
Rural Road,Clear,8.3,Dry,Daylight,134.1,Medium,Bus,42,3,Yes,No,Evening,Friday,Urban,Sharp Curve,Crossroad,No,No,No,No,30.4,1
Rural Road,Rainy,3.8,Dry,Dusk/Dawn,83.3,High,Car,53,28,No,Yes,Evening,Thursday,Urban,Straight,T-Junction,No,No,No,No,-5.1,1
Rural Road,Windy,1.2,Dry,Dark - Unlit,73.1,Low,Car,68,27,No,Yes,Evening,Monday,Rural,Sharp Curve,Crossroad,No,No,No,No,27.9,0
Highway,Clear,6.8,Dry,Dark - Unlit,156.3,High,Bus,27,18,No,Yes,Night,Thursday,Rural,Straight,Crossroad,No,No,Yes,No,13.5,1
Highway,Foggy,0.3,Muddy,Dark - Lit,36.3,Low,Bus,57,27,No,Yes,Night,Thursday,Rural,Straight,Roundabout,No,No,No,Yes,41.2,1
Rural Road,Foggy,4.9,Dry,Dusk/Dawn,88.1,Low,Truck,33,17,No,Yes,Morning,Saturday,Urban,Slight Curve,Crossroad,No,Yes,Yes,No,38.3,1
Residential,Rainy,2.1,Muddy,Daylight,77.2,Medium,Truck,21,13,Yes,Yes,Night,Saturday,Urban,Straight,No Junction,No,No,Yes,No,31.4,1
Residential,Clear,6.3,Muddy,Daylight,33.7,Low,Car,27,13,No,Yes,Morning,Thursday,Urban,Straight,No Junction,Yes,Yes,No,No,30.3,0
Urban Road,Foggy,9.8,Wet,Daylight,57.5,Medium,Car,68,28,Yes,Yes,Afternoon,Tuesday,Rural,Straight,Roundabout,Yes,No,Yes,No,38.7,0
Rural Road,Clear,4.8,Dry,Daylight,24.0,Medium,Car,65,2,No,Yes,Morning,Friday,Urban,Slight Curve,Roundabout,Yes,No,No,No,33.8,0
Urban Road,Rainy,8.2,Dry,Dusk/Dawn,142.8,Medium,Motorcycle,48,33,No,Yes,Night,Friday,Rural,Straight,Roundabout,No,No,No,No,42.9,1
Residential,Foggy,5.2,Dry,Dark - Unlit,105.1,High,Car,29,8,Yes,Yes,Night,Sunday,Urban,Straight,Roundabout,No,Yes,No,No,37.5,1
Urban Road,Clear,5.1,Dry,Dark - Lit,134.1,Medium,Motorcycle,37,39,No,Yes,Afternoon,Sunday,Urban,Sharp Curve,T-Junction,No,Yes,Yes,Yes,8.1,1
Rural Road,Snowy,9.3,Wet,Dark - Unlit,93.0,Medium,Truck,49,4,No,Yes,Afternoon,Thursday,Rural,Straight,Crossroad,Yes,No,No,No,28.4,0
Rural Road,Clear,8.9,Dry,Dark - Lit,103.9,Low,Car,19,28,No,Yes,Morning,Friday,Urban,Sharp Curve,Crossroad,No,No,No,No,37.6,0
Rural Road,Snowy,7.9,Muddy,Daylight,118.1,High,Truck,28,4,No,Yes,Morning,Wednesday,Rural,Straight,No Junction,No,No,No,Yes,34.6,0
Highway,Rainy,3.1,Dry,Daylight,147.1,Medium,Car,37,12,No,Yes,Evening,Tuesday,Rural,Straight,No Junction,Yes,Yes,No,Yes,24.2,0
Urban Road,Clear,5.5,Wet,Dusk/Dawn,32.8,Medium,Truck,40,25,No,Yes,Evening,Sunday,Urban,Slight Curve,No Junction,Yes,No,No,No,17.7,0
Residential,Clear,2.4,Icy,Daylight,66.3,Medium,Car,30,8,No,No,Morning,Tuesday,Rural,Slight Curve,T-Junction,No,Yes,Yes,No,-5.4,1
Residential,Windy,4.6,Dry,Dusk/Dawn,119.3,Low,Motorcycle,52,3,No,Yes,Afternoon,Sunday,Rural,Straight,Crossroad,Yes,No,No,No,7.6,0
Residential,Clear,4.9,Dry,Dusk/Dawn,154.2,Low,Bus,34,38,No,Yes,Morning,Friday,Urban,Straight,Roundabout,Yes,No,No,No,23.3,1
Highway,Clear,8.4,Dry,Dusk/Dawn,157.3,Low,Truck,27,30,No,Yes,Evening,Thursday,Rural,Straight,T-Junction,Yes,Yes,Yes,No,21.8,1
Highway,Clear,9.0,Dry,Daylight,109.3,Medium,Truck,57,4,No,Yes,Afternoon,Thursday,Rural,Straight,No Junction,No,No,Yes,No,31.2,0
Rural Road,Rainy,4.3,Dry,Daylight,47.1,Medium,Bus,55,6,Yes,Yes,Evening,Saturday,Urban,Slight Curve,Roundabout,Yes,Yes,No,No,38.2,0
Residential,Rainy,0.4,Dry,Dark - Unlit,36.7,Medium,Car,31,27,No,Yes,Morning,Thursday,Urban,Straight,No Junction,Yes,Yes,No,No,20.9,0
Highway,Clear,8.6,Dry,Dark - Lit,152.4,Medium,Motorcycle,36,39,No,Yes,Morning,Sunday,Rural,Slight Curve,T-Junction,No,No,No,No,25.4,1
Rural Road,Clear,1.9,Muddy,Dark - Unlit,80.7,Medium,Motorcycle,49,13,No,Yes,Night,Friday,Urban,Slight Curve,No Junction,Yes,No,Yes,No,13.4,1
Residential,Clear,6.3,Dry,Daylight,47.3,Low,Motorcycle,73,23,No,No,Morning,Thursday,Rural,Sharp Curve,Crossroad,Yes,No,No,No,-6.8,0
Urban Road,Clear,0.4,Dry,Dark - Lit,150.7,Medium,Car,71,37,No,Yes,Night,Saturday,Urban,Straight,Roundabout,No,No,No,No,8.0,1
Rural Road,Clear,4.1,Dry,Dusk/Dawn,34.6,High,Truck,50,4,No,Yes,Night,Saturday,Rural,Straight,Crossroad,Yes,Yes,No,No,19.7,0
Highway,Foggy,9.9,Dry,Dark - Lit,122.1,Medium,Car,74,33,No,Yes,Night,Friday,Urban,Slight Curve,Crossroad,No,No,Yes,No,17.1,1
Highway,Clear,1.2,Dry,Dusk/Dawn,107.5,Low,Motorcycle,60,27,No,Yes,Night,Monday,Urban,Sharp Curve,Roundabout,Yes,No,No,No,21.0,0
Rural Road,Clear,4.4,Muddy,Daylight,32.3,Medium,Bus,42,7,No,Yes,Evening,Saturday,Rural,Straight,No Junction,Yes,Yes,Yes,No,24.4,0
Rural Road,Clear,3.2,Dry,Dark - Lit,67.4,High,Motorcycle,42,20,Yes,Yes,Morning,Friday,Rural,Sharp Curve,No Junction,Yes,Yes,No,No,-6.2,1
Highway,Windy,9.1,Dry,Dusk/Dawn,41.0,Medium,Truck,31,23,No,Yes,Morning,Wednesday,Rural,Straight,T-Junction,Yes,Yes,No,No,-9.3,0
Urban Road,Windy,8.7,Dry,Dark - Unlit,104.6,High,Car,62,23,Yes,No,Morning,Sunday,Rural,Straight,No Junction,Yes,Yes,No,No,2.5,1
Residential,Snowy,2.5,Dry,Dark - Unlit,86.8,High,Car,61,12,No,Yes,Night,Thursday,Rural,Straight,No Junction,No,Yes,Yes,No,19.6,1
Urban Road,Clear,1.0,Dry,Dusk/Dawn,20.6,Low,Motorcycle,71,14,No,Yes,Evening,Thursday,Urban,Straight,Crossroad,No,No,No,No,8.7,0
Rural Road,Clear,6.3,Wet,Dark - Unlit,156.6,High,Truck,55,24,No,Yes,Evening,Tuesday,Rural,Slight Curve,No Junction,Yes,No,No,No,22.0,1
Urban Road,Clear,3.5,Dry,Dark - Unlit,68.9,Medium,Truck,53,27,No,Yes,Night,Saturday,Rural,Straight,No Junction,No,No,Yes,No,25.1,0
Highway,Clear,6.8,Dry,Dark - Lit,56.1,High,Bus,41,38,No,No,Night,Sunday,Urban,Straight,Crossroad,No,No,No,No,-0.4,0
Rural Road,Rainy,0.5,Wet,Dark - Unlit,51.1,Medium,Motorcycle,58,7,No,Yes,Morning,Friday,Urban,Straight,Roundabout,Yes,No,Yes,No,22.3,0
Residential,Snowy,1.5,Dry,Dark - Lit,42.2,Medium,Bus,56,30,No,Yes,Evening,Monday,Rural,Slight Curve,T-Junction,No,Yes,No,No,44.8,1
Highway,Windy,6.9,Dry,Daylight,159.9,Medium,Car,56,6,No,No,Afternoon,Thursday,Rural,Slight Curve,Roundabout,No,No,Yes,No,42.9,1
Highway,Snowy,2.3,Muddy,Dark - Unlit,61.3,Medium,Car,30,38,No,Yes,Afternoon,Tuesday,Rural,Slight Curve,Roundabout,No,Yes,No,No,9.4,0
Residential,Clear,8.6,Dry,Daylight,76.8,Low,Truck,19,16,No,Yes,Afternoon,Friday,Rural,Slight Curve,Roundabout,No,Yes,No,No,1.2,0
Residential,Foggy,0.8,Wet,Dark - Unlit,142.0,Medium,Bus,51,34,No,No,Afternoon,Tuesday,Rural,Straight,Roundabout,No,No,Yes,No,39.8,1
Urban Road,Clear,2.3,Dry,Dusk/Dawn,109.9,Low,Truck,32,21,No,Yes,Night,Monday,Rural,Straight,Roundabout,No,Yes,No,No,31.3,0
Rural Road,Clear,10.0,Dry,Dusk/Dawn,71.6,High,Motorcycle,65,6,Yes,Yes,Morning,Friday,Rural,Straight,Crossroad,Yes,No,Yes,No,3.0,0
Residential,Foggy,4.4,Dry,Daylight,145.8,Medium,Truck,19,9,No,No,Afternoon,Thursday,Rural,Slight Curve,No Junction,Yes,Yes,No,No,8.2,1
Residential,Clear,7.1,Dry,Daylight,125.0,High,Car,69,27,No,Yes,Morning,Friday,Urban,Straight,No Junction,Yes,No,No,No,13.7,0
Rural Road,Clear,2.0,Dry,Daylight,51.9,Low,Car,42,38,No,No,Morning,Thursday,Urban,Straight,T-Junction,No,No,Yes,No,11.5,0
Residential,Clear,6.2,Dry,Dusk/Dawn,110.1,Medium,Truck,22,28,No,Yes,Evening,Wednesday,Rural,Straight,Roundabout,No,Yes,No,No,23.8,0
Residential,Foggy,7.3,Icy,Daylight,149.1,Medium,Motorcycle,51,34,No,No,Afternoon,Thursday,Rural,Slight Curve,T-Junction,No,Yes,No,No,29.8,1
Urban Road,Foggy,3.3,Wet,Dusk/Dawn,89.5,Low,Bus,69,21,No,Yes,Morning,Tuesday,Urban,Straight,Crossroad,Yes,Yes,No,No,39.5,1
Highway,Clear,8.3,Dry,Daylight,122.7,High,Car,56,8,No,No,Evening,Monday,Urban,Sharp Curve,Crossroad,No,Yes,No,No,-0.3,0
Highway,Snowy,6.1,Wet,Dark - Lit,156.0,Low,Car,22,35,No,Yes,Night,Friday,Rural,Straight,Roundabout,No,No,Yes,No,10.1,1
Highway,Clear,4.0,Icy,Dark - Lit,116.7,High,Motorcycle,60,7,Yes,Yes,Morning,Wednesday,Rural,Straight,T-Junction,Yes,No,No,No,31.2,1
Highway,Clear,5.7,Wet,Dark - Unlit,34.3,High,Truck,25,29,No,No,Morning,Wednesday,Urban,Straight,Roundabout,No,No,Yes,No,28.3,0
Residential,Foggy,5.9,Dry,Dark - Lit,54.2,High,Car,66,29,No,Yes,Evening,Wednesday,Urban,Slight Curve,Roundabout,Yes,No,No,No,39.4,0
Rural Road,Foggy,1.8,Icy,Daylight,103.3,Medium,Car,31,30,No,Yes,Morning,Tuesday,Rural,Straight,Crossroad,Yes,No,No,No,29.0,1
Rural Road,Windy,4.1,Dry,Dark - Lit,58.6,Low,Motorcycle,46,21,No,Yes,Night,Thursday,Urban,Slight Curve,Crossroad,Yes,No,No,No,-3.7,0
Urban Road,Clear,3.6,Dry,Dark - Lit,154.1,Medium,Truck,47,30,No,Yes,Night,Sunday,Urban,Straight,No Junction,No,Yes,Yes,No,29.6,1
Urban Road,Foggy,4.1,Dry,Daylight,76.7,Low,Motorcycle,54,39,No,Yes,Evening,Wednesday,Urban,Slight Curve,T-Junction,No,No,Yes,Yes,-8.4,0
Residential,Rainy,7.7,Icy,Dark - Lit,84.0,High,Motorcycle,21,27,Yes,No,Afternoon,Monday,Urban,Sharp Curve,Crossroad,No,No,No,No,20.9,1
Rural Road,Windy,4.9,Muddy,Daylight,118.2,Medium,Truck,52,4,No,Yes,Morning,Monday,Rural,Straight,T-Junction,No,Yes,Yes,No,26.8,1
Rural Road,Clear,9.4,Muddy,Dark - Lit,93.4,Medium,Car,24,16,Yes,Yes,Morning,Sunday,Rural,Slight Curve,T-Junction,No,No,No,No,35.4,1
Highway,Foggy,3.1,Dry,Daylight,73.5,Medium,Bus,43,10,Yes,No,Afternoon,Friday,Urban,Straight,Roundabout,Yes,No,No,No,23.0,1
Residential,Rainy,4.3,Muddy,Dusk/Dawn,30.7,High,Bus,49,21,No,Yes,Night,Monday,Rural,Straight,No Junction,No,No,No,No,24.9,0
Residential,Clear,7.9,Dry,Dusk/Dawn,103.5,Low,Bus,60,24,No,Yes,Morning,Thursday,Urban,Straight,T-Junction,Yes,Yes,Yes,No,-1.6,0
Highway,Rainy,5.6,Dry,Dark - Unlit,141.5,High,Motorcycle,50,12,No,Yes,Evening,Sunday,Rural,Straight,T-Junction,Yes,No,Yes,No,-6.6,1
Residential,Clear,5.6,Dry,Dark - Lit,116.0,Medium,Car,71,35,No,Yes,Evening,Sunday,Rural,Sharp Curve,T-Junction,Yes,No,Yes,No,-4.4,0
Residential,Rainy,0.7,Dry,Dark - Unlit,73.4,Medium,Car,41,10,No,Yes,Evening,Thursday,Rural,Slight Curve,T-Junction,Yes,Yes,No,No,2.6,0
Urban Road,Windy,4.1,Wet,Daylight,37.9,High,Car,67,4,No,Yes,Morning,Sunday,Urban,Straight,Roundabout,Yes,No,No,No,14.6,0
Rural Road,Rainy,2.9,Dry,Dusk/Dawn,134.3,Medium,Car,71,13,No,Yes,Afternoon,Wednesday,Urban,Straight,T-Junction,Yes,No,Yes,Yes,11.6,1
Residential,Rainy,10.0,Muddy,Daylight,151.8,Medium,Motorcycle,18,21,No,Yes,Morning,Thursday,Urban,Straight,No Junction,Yes,No,No,No,6.6,1
Urban Road,Rainy,3.2,Dry,Dark - Unlit,74.4,Low,Bus,46,2,No,Yes,Afternoon,Thursday,Rural,Straight,T-Junction,No,No,Yes,No,38.9,0
Rural Road,Clear,8.9,Dry,Daylight,122.0,Low,Bus,65,34,Yes,Yes,Afternoon,Wednesday,Rural,Straight,No Junction,Yes,Yes,No,No,-5.2,0
Highway,Clear,6.8,Muddy,Daylight,77.5,Low,Truck,62,31,No,No,Morning,Friday,Rural,Slight Curve,No Junction,No,Yes,No,No,-2.1,0
Urban Road,Rainy,3.5,Dry,Daylight,90.3,Low,Car,55,37,No,Yes,Night,Thursday,Rural,Sharp Curve,T-Junction,Yes,No,No,Yes,13.9,1
Urban Road,Clear,5.5,Wet,Daylight,137.1,Low,Bus,55,39,No,Yes,Afternoon,Thursday,Rural,Straight,Roundabout,No,Yes,No,No,-2.9,1
Rural Road,Clear,8.4,Wet,Dusk/Dawn,31.7,Low,Bus,38,23,No,Yes,Morning,Tuesday,Rural,Slight Curve,No Junction,Yes,No,Yes,No,-1.4,0
Highway,Rainy,8.9,Dry,Daylight,94.2,Medium,Car,40,27,No,Yes,Night,Friday,Urban,Straight,Crossroad,No,Yes,No,No,43.2,0
Urban Road,Clear,1.8,Wet,Daylight,50.0,Medium,Car,63,20,No,Yes,Night,Wednesday,Rural,Straight,No Junction,No,No,No,Yes,17.2,1
Residential,Clear,3.5,Dry,Dusk/Dawn,67.6,Low,Bus,22,32,No,Yes,Morning,Tuesday,Rural,Straight,T-Junction,No,No,No,No,-4.2,0
Residential,Rainy,3.5,Icy,Daylight,110.2,High,Truck,47,27,No,Yes,Morning,Saturday,Urban,Straight,Roundabout,Yes,Yes,No,No,-7.1,0
Residential,Clear,0.6,Dry,Daylight,23.8,Low,Car,57,38,Yes,Yes,Night,Tuesday,Urban,Slight Curve,Crossroad,No,No,Yes,No,30.4,0
Highway,Windy,6.1,Dry,Dark - Unlit,103.1,Medium,Bus,35,35,Yes,Yes,Morning,Friday,Rural,Straight,No Junction,Yes,Yes,No,Yes,11.2,1
Urban Road,Windy,8.6,Dry,Dusk/Dawn,59.7,High,Truck,23,9,No,Yes,Night,Thursday,Rural,Sharp Curve,T-Junction,Yes,No,Yes,No,5.6,1
Residential,Foggy,3.9,Dry,Dark - Lit,113.7,High,Motorcycle,22,36,No,Yes,Night,Wednesday,Urban,Straight,Crossroad,No,No,No,No,27.8,0
Highway,Clear,7.5,Wet,Daylight,39.8,High,Truck,59,39,No,Yes,Night,Friday,Urban,Straight,T-Junction,Yes,No,No,No,28.4,0
Residential,Snowy,6.4,Muddy,Dark - Unlit,123.0,Medium,Car,35,24,Yes,Yes,Evening,Tuesday,Urban,Slight Curve,T-Junction,No,No,No,Yes,9.8,1
Rural Road,Snowy,3.9,Wet,Dusk/Dawn,110.4,High,Motorcycle,30,16,No,No,Morning,Monday,Urban,Straight,T-Junction,No,Yes,No,No,42.3,1
Urban Road,Foggy,1.6,Dry,Daylight,156.0,Medium,Truck,72,3,No,Yes,Evening,Wednesday,Rural,Sharp Curve,Roundabout,Yes,Yes,No,Yes,12.0,1
Urban Road,Clear,7.2,Muddy,Dark - Lit,147.6,Medium,Bus,37,9,Yes,Yes,Morning,Monday,Urban,Slight Curve,Crossroad,No,No,No,No,10.9,1
Highway,Rainy,8.6,Dry,Daylight,59.7,Low,Car,55,24,No,Yes,Afternoon,Saturday,Rural,Straight,Crossroad,Yes,No,Yes,No,32.8,0
Highway,Snowy,6.9,Wet,Dark - Unlit,23.8,Medium,Motorcycle,38,31,No,Yes,Evening,Saturday,Rural,Slight Curve,Crossroad,No,No,No,No,34.9,0
Urban Road,Rainy,0.4,Wet,Dusk/Dawn,111.8,High,Bus,21,7,No,Yes,Morning,Thursday,Rural,Sharp Curve,Roundabout,Yes,No,No,Yes,5.8,1
Residential,Rainy,2.3,Dry,Dark - Unlit,104.4,Medium,Motorcycle,30,11,No,Yes,Morning,Friday,Urban,Straight,T-Junction,No,No,No,No,27.9,0
Residential,Rainy,0.9,Icy,Dusk/Dawn,23.8,Medium,Truck,35,20,No,Yes,Night,Sunday,Rural,Slight Curve,Crossroad,Yes,No,No,No,25.2,0
Rural Road,Rainy,5.8,Dry,Dark - Lit,37.2,Low,Bus,30,26,No,No,Afternoon,Thursday,Urban,Sharp Curve,No Junction,No,Yes,No,No,-8.1,0
Residential,Clear,7.6,Wet,Daylight,101.9,Low,Car,30,29,No,Yes,Afternoon,Sunday,Rural,Straight,No Junction,No,Yes,No,No,0.7,0
Highway,Rainy,1.3,Wet,Dark - Unlit,147.7,Medium,Bus,56,9,Yes,No,Morning,Sunday,Urban,Straight,T-Junction,No,Yes,No,Yes,-4.5,1
Highway,Clear,8.4,Muddy,Dark - Lit,146.9,Medium,Truck,54,20,No,Yes,Afternoon,Friday,Urban,Slight Curve,Crossroad,Yes,Yes,No,No,38.7,1
Residential,Clear,5.6,Icy,Dark - Lit,41.2,Medium,Motorcycle,52,0,No,No,Afternoon,Tuesday,Rural,Sharp Curve,T-Junction,No,No,No,No,42.6,0
Highway,Clear,7.0,Dry,Daylight,73.8,Low,Bus,55,8,No,Yes,Evening,Thursday,Rural,Slight Curve,Roundabout,No,No,No,Yes,35.4,0
Urban Road,Rainy,9.7,Wet,Dark - Unlit,26.0,Low,Motorcycle,57,2,No,Yes,Afternoon,Monday,Urban,Straight,Roundabout,No,No,No,No,7.1,0
Urban Road,Clear,1.0,Dry,Daylight,85.7,High,Car,44,18,No,Yes,Afternoon,Tuesday,Rural,Straight,T-Junction,No,Yes,No,Yes,37.3,0
Residential,Foggy,9.0,Dry,Daylight,125.4,High,Bus,43,5,Yes,No,Night,Friday,Urban,Sharp Curve,Roundabout,Yes,Yes,No,No,-6.8,1
Urban Road,Snowy,1.4,Muddy,Dusk/Dawn,130.6,High,Motorcycle,29,6,No,Yes,Night,Tuesday,Rural,Straight,Crossroad,Yes,No,No,No,27.7,1
Urban Road,Clear,4.1,Muddy,Dusk/Dawn,89.9,High,Car,19,15,No,Yes,Evening,Sunday,Urban,Straight,Roundabout,Yes,No,No,No,-3.2,0
Rural Road,Clear,8.5,Icy,Daylight,33.4,Low,Truck,60,35,No,No,Morning,Monday,Rural,Straight,T-Junction,Yes,No,Yes,No,-9.3,0
Rural Road,Clear,9.1,Dry,Dusk/Dawn,73.4,Low,Bus,37,3,No,Yes,Night,Wednesday,Urban,Straight,Crossroad,No,No,No,No,-0.4,0
Urban Road,Windy,5.2,Icy,Dark - Unlit,150.5,Medium,Bus,52,17,No,Yes,Evening,Friday,Rural,Straight,T-Junction,Yes,No,No,No,43.0,1
Residential,Rainy,6.0,Muddy,Dusk/Dawn,52.1,High,Bus,72,31,No,Yes,Afternoon,Wednesday,Urban,Straight,Crossroad,No,Yes,No,No,31.5,0
Rural Road,Rainy,7.1,Dry,Dark - Lit,64.8,Medium,Motorcycle,27,31,No,Yes,Evening,Tuesday,Urban,Straight,T-Junction,No,Yes,No,Yes,18.5,0
Highway,Clear,8.4,Dry,Daylight,124.6,Medium,Motorcycle,25,17,No,No,Night,Saturday,Urban,Straight,No Junction,No,Yes,No,No,41.5,1
Highway,Rainy,1.4,Wet,Daylight,122.7,Low,Car,57,38,No,Yes,Afternoon,Saturday,Rural,Sharp Curve,No Junction,No,Yes,No,No,12.9,1
Highway,Windy,8.1,Wet,Dark - Unlit,147.7,Medium,Bus,63,36,No,Yes,Evening,Thursday,Rural,Straight,Roundabout,Yes,Yes,Yes,No,-7.8,1
Residential,Snowy,4.9,Muddy,Daylight,74.3,Medium,Car,53,27,No,Yes,Night,Saturday,Urban,Sharp Curve,T-Junction,No,Yes,Yes,No,22.7,1
Urban Road,Rainy,4.6,Dry,Dusk/Dawn,92.0,Low,Bus,48,38,No,Yes,Evening,Friday,Rural,Slight Curve,T-Junction,Yes,No,No,No,35.6,0
Highway,Clear,4.4,Wet,Dark - Lit,85.4,Low,Truck,32,1,No,Yes,Morning,Tuesday,Rural,Slight Curve,No Junction,No,No,No,Yes,5.7,0
Residential,Clear,5.2,Wet,Daylight,149.9,Low,Bus,59,36,No,Yes,Afternoon,Sunday,Rural,Slight Curve,No Junction,Yes,Yes,No,No,7.5,0
Rural Road,Clear,9.5,Dry,Dusk/Dawn,127.7,Low,Car,35,36,No,No,Evening,Sunday,Urban,Straight,No Junction,Yes,No,Yes,No,26.9,0
Urban Road,Clear,5.6,Icy,Dark - Lit,136.4,High,Motorcycle,71,1,No,Yes,Evening,Friday,Urban,Straight,T-Junction,No,No,No,No,34.2,1
Rural Road,Clear,9.5,Dry,Daylight,38.6,High,Truck,32,18,No,Yes,Afternoon,Monday,Urban,Sharp Curve,Roundabout,Yes,No,No,No,13.9,0
Residential,Clear,2.0,Dry,Daylight,130.9,High,Truck,36,4,No,No,Night,Tuesday,Rural,Slight Curve,No Junction,Yes,No,No,No,-5.1,1
Highway,Clear,7.3,Dry,Daylight,80.6,Medium,Bus,41,12,No,Yes,Evening,Thursday,Rural,Straight,T-Junction,Yes,Yes,No,No,31.1,0
Highway,Windy,8.2,Dry,Dark - Lit,23.3,High,Truck,52,21,No,Yes,Night,Friday,Rural,Straight,Crossroad,No,No,No,No,13.5,0
Residential,Rainy,6.9,Wet,Daylight,28.4,Low,Car,19,6,No,Yes,Morning,Saturday,Rural,Straight,T-Junction,No,No,No,No,40.1,0
Highway,Snowy,6.1,Muddy,Daylight,114.9,High,Car,30,1,No,Yes,Afternoon,Thursday,Urban,Straight,T-Junction,No,No,Yes,Yes,3.9,1
Urban Road,Foggy,5.7,Dry,Dusk/Dawn,72.1,Low,Bus,62,13,No,No,Night,Thursday,Rural,Sharp Curve,Roundabout,No,No,Yes,No,15.5,1
Residential,Clear,8.6,Dry,Dusk/Dawn,141.5,High,Motorcycle,74,24,No,Yes,Night,Monday,Rural,Straight,T-Junction,Yes,Yes,Yes,No,28.9,1
Rural Road,Foggy,8.3,Dry,Dusk/Dawn,122.8,High,Truck,26,25,Yes,No,Night,Saturday,Urban,Straight,No Junction,Yes,No,Yes,No,3.5,1
Residential,Clear,1.4,Wet,Dusk/Dawn,23.0,Low,Truck,74,4,Yes,No,Morning,Wednesday,Rural,Slight Curve,T-Junction,No,Yes,No,No,2.5,1
Urban Road,Rainy,8.5,Muddy,Daylight,116.2,Low,Bus,52,19,No,No,Afternoon,Tuesday,Rural,Straight,Roundabout,Yes,No,No,No,30.1,1
Urban Road,Clear,4.3,Wet,Dark - Lit,46.9,Medium,Truck,19,11,No,Yes,Night,Wednesday,Rural,Straight,Crossroad,Yes,Yes,No,No,-0.1,0
Residential,Windy,2.7,Wet,Daylight,79.2,Medium,Motorcycle,63,35,No,Yes,Night,Wednesday,Urban,Straight,T-Junction,Yes,No,Yes,No,-3.4,0
Residential,Clear,8.7,Wet,Dark - Unlit,107.5,Medium,Bus,33,30,No,Yes,Morning,Monday,Rural,Straight,Crossroad,Yes,No,Yes,No,4.2,0
Highway,Clear,4.4,Dry,Dark - Lit,142.2,High,Car,63,16,No,Yes,Afternoon,Sunday,Urban,Straight,T-Junction,Yes,No,No,No,35.1,0
Urban Road,Windy,8.1,Wet,Dark - Unlit,83.9,High,Truck,53,15,No,Yes,Evening,Thursday,Rural,Slight Curve,Crossroad,Yes,Yes,No,Yes,37.5,1
Residential,Clear,2.8,Wet,Daylight,133.2,Low,Bus,19,9,No,No,Afternoon,Thursday,Urban,Sharp Curve,Crossroad,Yes,Yes,No,No,-4.3,1
Residential,Foggy,0.2,Wet,Dark - Lit,129.6,Low,Car,33,34,No,Yes,Evening,Tuesday,Urban,Straight,No Junction,No,No,Yes,No,-4.0,1
Urban Road,Foggy,5.1,Icy,Dark - Lit,78.0,Medium,Car,25,32,No,Yes,Morning,Monday,Urban,Slight Curve,Crossroad,Yes,No,No,No,36.0,1
Residential,Snowy,1.2,Wet,Dusk/Dawn,90.1,Low,Car,18,37,No,Yes,Evening,Friday,Urban,Straight,Roundabout,No,No,No,No,42.0,1
Highway,Windy,7.6,Wet,Daylight,118.1,High,Bus,35,34,No,Yes,Morning,Thursday,Rural,Straight,T-Junction,No,Yes,No,No,16.4,1
Urban Road,Windy,2.9,Muddy,Dark - Unlit,24.4,Low,Bus,71,26,No,Yes,Evening,Tuesday,Urban,Straight,Crossroad,Yes,No,No,Yes,36.7,0
Highway,Clear,4.5,Muddy,Dark - Lit,144.7,Low,Car,58,6,No,Yes,Morning,Friday,Rural,Sharp Curve,Crossroad,Yes,No,Yes,No,38.9,1
